product_area,location_country,supplier_name,location_region,onboard_date_v2,sla_end_to_end_exclude_weekend1,wo_adv_std_exclude_weekend,complaince_activation_exclude_weekend,xws_activation_to_idv,xws_idv_to_system_activation
Technical Infrastructure,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-04-30,2,2,0,0,0
REWS,null,SODEXO,LATAM,2025-04-28,3,3,0,0,0
Technical Infrastructure,United States,"APEX INFRASTRUCTURE CONSULTANTS, LLC",NORTH AMERICA,2025-04-28,4,2,2,2,0
Cloud,El Salvador,SERVICESOURCE INTERNATIONAL INC,LATAM,2025-04-28,3,3,0,0,0
Cloud,Poland,TTEC HOLDINGS INC,EMEA,2025-04-28,6,4,2,2,0
gTech,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-30,5,2,3,1,2
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-05-01,7,2,5,5,0
Platforms + Ecosystems,India,ITTIAM SYSTEMS PVT LTD,APAC,2025-04-29,7,5,2,0,2
Cloud,Romania,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,EMEA,2025-04-29,5,1,4,0,4
Technical Infrastructure,United States,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-05-02,3,3,0,0,0
Technical Infrastructure,United States,M A MORTENSON COMPANY,NORTH AMERICA,2025-04-28,1,1,0,0,0
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-28,24,17,7,0,7
YouTube,India,GENPACT LIMITED,APAC,2025-04-28,3,2,1,0,1
YouTube,Philippines,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-02,3,3,0,0,0
REWS,United States,COMPASS GROUP PLC,NORTH AMERICA,2025-05-01,3,3,0,0,0
REWS,India,JONES LANG LASALLE INC,APAC,2025-05-02,3,3,0,0,0
Technical Infrastructure,Netherlands,SECURITAS AB,EMEA,2025-04-30,5,2,3,2,1
Technical Infrastructure,United States,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-05-01,3,3,0,0,0
T&S,Philippines,ACCENTURE PLC,APAC,2025-04-29,10,3,7,0,7
Devices & Services,India,VIRTUSA CORPORATION,APAC,2025-05-01,4,2,2,2,0
T&S,India,ACCENTURE PLC,APAC,2025-04-28,4,1,3,2,1
Global Affairs (w/o T&S),United States,"ELEVATE SERVICES, INC.",NORTH AMERICA,2025-04-28,14,4,10,0,10
REWS,United States,MCCUNE MANAGEMENT SERVICES LIMITED,NORTH AMERICA,2025-04-28,11,1,10,0,10
Platforms + Ecosystems,India,MARKETSTAR CORPORATION,APAC,2025-04-30,4,3,1,1,0
gTech,India,VACO,APAC,2025-04-29,5,2,3,0,3
Waymo,Philippines,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-02,4,2,2,1,1
Technical Infrastructure,Utd.Arab Emir.,IRON SYSTEMS INC,EMEA,2025-05-02,8,2,6,0,6
REWS,United States,SODEXO,NORTH AMERICA,2025-04-28,3,3,0,0,0
Access,United States,"INFRASTRUCTURE TECHNOLOGY SERVICES, INC.",NORTH AMERICA,2025-04-29,30,3,27,26,1
Geo,India,WIPRO LIMITED,APAC,2025-05-01,5,3,2,2,0
REWS,India,JONES LANG LASALLE INC,APAC,2025-05-02,3,3,0,0,0
Technical Infrastructure,United States,ADECCO GROUP AG,NORTH AMERICA,2025-05-01,6,3,3,0,3
Technical Infrastructure,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-05-02,4,3,1,0,1
Global Affairs (w/o T&S),India,ACCENTURE PLC,APAC,2025-04-29,4,1,3,0,3
T&S,India,WIPRO LIMITED,APAC,2025-04-30,3,1,2,0,2
Cloud,United States,SERVICESOURCE INTERNATIONAL INC,NORTH AMERICA,2025-05-02,12,1,11,0,11
gTech,India,ACCENTURE PLC,APAC,2025-05-01,8,1,7,7,0
REWS,United States,PROPARK AMERICA WEST LLC,NORTH AMERICA,2025-04-29,3,3,0,0,0
Devices & Services,India,L&T TECHNOLOGY SERVICES LTD,APAC,2025-05-02,5,3,2,0,2
REWS,null,STANTEC INC.,NORTH AMERICA,2025-04-29,3,3,0,0,0
Technical Infrastructure,India,MOTIVITY LABS INC,APAC,2025-04-28,5,3,2,2,0
T&S,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-28,5,1,4,2,2
Technical Infrastructure,null,J E DUNN CONSTRUCTION COMPANY,NORTH AMERICA,2025-05-02,3,3,0,0,0
Waymo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-30,2,2,0,0,0
Technical Infrastructure,United States,J E DUNN CONSTRUCTION COMPANY,NORTH AMERICA,2025-05-02,3,3,0,0,0
gTech,Poland,TELEPERFORMANCE SE,EMEA,2025-04-28,3,3,0,0,0
Technical Infrastructure,United States,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-05-02,3,3,0,0,0
T&S,Malaysia,ACCENTURE PLC,APAC,2025-04-28,3,2,1,0,1
Geo,India,ACCENTURE PLC,APAC,2025-05-02,6,3,3,2,1
Technical Infrastructure,United States,DIRECT LINE GLOBAL LLC,NORTH AMERICA,2025-04-28,3,3,0,0,0
Platforms + Ecosystems,United States,MAGIC LEAP INC.,NORTH AMERICA,2025-04-29,8,2,6,0,6
Geo,India,WIPRO LIMITED,APAC,2025-04-28,3,2,1,1,0
Geo,null,PWC,NORTH AMERICA,2025-05-01,3,3,0,0,0
REWS,India,JONES LANG LASALLE INC,APAC,2025-05-02,3,3,0,0,0
Platforms + Ecosystems,Philippines,NCC GROUP,APAC,2025-05-02,4,2,2,0,2
Technical Infrastructure,Finland,FIBER HIGHWAY FINLAND OY,EMEA,2025-04-29,3,3,0,0,0
Technical Infrastructure,Netherlands,SYNCREON GLOBAL HOLDINGS LIMITED,EMEA,2025-04-29,5,2,3,2,1
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-28,4,2,2,0,2
Waymo,United States,METRO ONE LOSS PREVENTION SERVICES GROUP (GUARD DIVISION) INC,NORTH AMERICA,2025-05-01,5,3,2,2,0
gCS,India,ACCENTURE PLC,APAC,2025-04-30,15,3,12,12,0
Waymo,United States,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,NORTH AMERICA,2025-04-30,8,1,7,6,1
Cloud,United States,DELOITTE,NORTH AMERICA,2025-04-28,7,1,6,0,6
YouTube,India,GENPACT LIMITED,APAC,2025-04-28,3,2,1,1,0
Platforms + Ecosystems,null,QUEST GLOBAL SERVICES PTE. LTD.,NORTH AMERICA,2025-04-29,3,3,0,0,0
Devices & Services,null,TESSOLVE SEMICONDUCTOR PVT LTD,APAC,2025-04-28,3,3,0,0,0
YouTube,Portugal,GENPACT LIMITED,EMEA,2025-04-30,7,3,4,2,2
Technical Infrastructure,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-05-01,3,3,0,0,0
REWS,United States,PROPARK AMERICA WEST LLC,NORTH AMERICA,2025-04-28,2,2,0,0,0
Waymo,India,WIPRO LIMITED,APAC,2025-05-01,3,1,2,2,0
gCS,Canada,TELEPERFORMANCE SE,NORTH AMERICA,2025-04-30,5,1,4,2,2
Technical Infrastructure,Finland,FIBER HIGHWAY FINLAND OY,EMEA,2025-04-28,4,1,3,0,3
T&S,India,WIPRO LIMITED,APAC,2025-04-28,4,1,3,0,3
gCS,Brazil,TTEC HOLDINGS INC,LATAM,2025-05-02,9,6,3,3,0
REWS,null,SODEXO,APAC,2025-05-02,3,3,0,0,0
REWS,Singapore,JONES LANG LASALLE INC,APAC,2025-05-01,7,4,3,3,0
REWS,Romania,SECURITAS AB,EMEA,2025-04-28,4,4,0,0,0
Geo,India,ACCENTURE PLC,APAC,2025-05-02,6,3,3,2,1
Technical Infrastructure,null,CERTIFIED MAINTENANCE SERVICE INC.,NORTH AMERICA,2025-05-01,3,3,0,0,0
Waymo,India,WIPRO LIMITED,APAC,2025-05-01,3,1,2,2,0
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-05-01,7,3,4,1,3
Health,United States,"MEDAMERICA CONSULTING EMPLOYEES, INC.",NORTH AMERICA,2025-04-30,7,3,4,3,1
REWS,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-05-02,7,1,6,0,6
Waymo,India,WIPRO LIMITED,APAC,2025-05-01,3,1,2,0,2
Technical Infrastructure,United States,"APEX INFRASTRUCTURE CONSULTANTS, LLC",NORTH AMERICA,2025-04-28,12,3,9,9,0
REWS,Taiwan,"LIANG PIN DINING CO., LTD.",APAC,2025-05-02,3,3,0,0,0
Ads & Commerce,United States,"SLALOM, LLC",NORTH AMERICA,2025-05-01,9,3,6,4,2
REWS,India,MEDIFIT CONSULTANTS PVT LTD,APAC,2025-05-02,3,3,0,0,0
Technical Infrastructure,United States,"ROONEY HOLDINGS, INC.",NORTH AMERICA,2025-05-01,3,3,0,0,0
Devices & Services,Taiwan,TATA GROUP,APAC,2025-05-02,6,2,4,1,3
REWS,null,SODEXO,APAC,2025-04-28,3,3,0,0,0
Technical Infrastructure,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-05-02,4,3,1,1,0
Technical Infrastructure,India,ACCENTURE PLC,APAC,2025-05-02,5,2,3,3,0
Technical Infrastructure,United States,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-05-01,3,3,0,0,0
Technical Infrastructure,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-04-29,3,3,0,0,0
Technical Infrastructure,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-04-28,4,3,1,1,0
Technical Infrastructure,India,ERICSSON INC,APAC,2025-04-29,3,3,0,0,0
T&S,Malaysia,ACCENTURE PLC,APAC,2025-04-30,5,4,1,0,1
Waymo,United States,KPMG,NORTH AMERICA,2025-04-28,2,2,0,0,0
Technical Infrastructure,India,INDIGO TELECOM GROUP LTD,APAC,2025-04-29,1,1,0,0,0
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-05-02,8,3,5,2,3
T&S,India,WIPRO LIMITED,APAC,2025-05-02,3,3,0,0,0
REWS,United States,PROPARK AMERICA WEST LLC,NORTH AMERICA,2025-04-30,4,2,2,0,2
Marketing,United States,"MAGNIT, LLC",NORTH AMERICA,2025-04-30,6,5,1,1,0
Cloud,Spain,TELEPERFORMANCE SE,EMEA,2025-04-28,3,3,0,0,0
YouTube,India,GENPACT LIMITED,APAC,2025-04-28,3,2,1,0,1
gCS,India,ACCENTURE PLC,APAC,2025-04-28,4,1,3,2,1
gTech,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-02,4,3,1,0,1
gCS,India,REGALIX INC,APAC,2025-05-02,4,3,1,1,0
GBO (w/o gTech & gCS),Singapore,CODIMITE PTE LTD,APAC,2025-04-30,2,2,0,0,0
Access,United States,ALLO HOLDING LLC,NORTH AMERICA,2025-04-30,12,3,9,8,1
Technical Infrastructure,United States,TW CONSTRUCTORS LLC,NORTH AMERICA,2025-04-29,3,3,0,0,0
gCS,Brazil,ATENTO S.A.,LATAM,2025-04-29,3,3,0,0,0
Devices & Services,United States,"AKRAYA, INC",NORTH AMERICA,2025-05-02,3,3,0,0,0
REWS,null,COMPASS GROUP PLC,APAC,2025-04-28,3,3,0,0,0
Platforms + Ecosystems,India,HCL TECHNOLOGIES LTD,APAC,2025-04-29,5,3,2,1,1
Global Affairs (w/o T&S),India,ACCENTURE PLC,APAC,2025-04-30,6,2,4,1,3
POps,India,RANDSTAD NV,APAC,2025-04-28,12,1,11,0,11
gTech,India,TELEPERFORMANCE SE,APAC,2025-04-28,3,3,0,0,0
YouTube,India,WIPRO LIMITED,APAC,2025-04-29,1,1,0,0,0
Devices & Services,India,TECH MAHINDRA LIMITED,APAC,2025-04-28,9,1,8,0,8
X,United States,TALENTFUL LIMITED,NORTH AMERICA,2025-04-28,3,2,0,0,0
REWS,null,CBRE GROUP INC,EMEA,2025-05-02,3,3,0,0,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-05-02,3,3,0,0,0
YouTube,India,CONCENTRIX,APAC,2025-04-30,3,2,1,0,1
Ads & Commerce,United States,"APPLAUSE APP QUALITY, INC",NORTH AMERICA,2025-05-01,3,2,1,0,1
T&S,India,WIPRO LIMITED,APAC,2025-04-30,5,2,3,0,3
Corp Eng,India,DELOITTE,APAC,2025-04-30,5,3,2,0,2
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-30,7,1,6,3,3
Technical Infrastructure,Netherlands,SYNCREON GLOBAL HOLDINGS LIMITED,EMEA,2025-04-29,5,1,4,2,2
Cloud,Greece,TELEPERFORMANCE SE,EMEA,2025-05-01,3,3,0,0,0
Cloud,India,ACCENTURE PLC,APAC,2025-04-28,5,2,3,1,2
REWS,India,JONES LANG LASALLE INC,APAC,2025-05-02,3,3,0,0,0
Devices & Services,United States,"ANSYS, INC.",NORTH AMERICA,2025-04-28,5,3,2,0,2
Cloud,United States,TECH MAHINDRA LIMITED,NORTH AMERICA,2025-04-28,3,3,0,0,0
gTech,Mexico,QUALITEST,LATAM,2025-04-29,6,3,3,0,3
Marketing,United States,THE SAGE GROUP,NORTH AMERICA,2025-04-29,4,3,1,1,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-05-02,3,3,0,0,0
Global Affairs (w/o T&S),United States,AXIOM GLOBAL INC,NORTH AMERICA,2025-05-02,5,1,4,0,4
YouTube,Philippines,TECH MAHINDRA LIMITED,APAC,2025-05-02,11,1,10,1,9
Technical Infrastructure,null,JONES LANG LASALLE INC,APAC,2025-04-28,3,3,0,0,0
Cloud,Bulgaria,SERVICESOURCE INTERNATIONAL INC,EMEA,2025-04-28,4,3,1,0,1
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-04-30,2,2,0,0,0
gCS,Spain,TELEPERFORMANCE SE,EMEA,2025-04-28,4,0,4,3,1
Global Affairs (w/o T&S),India,ACCENTURE PLC,APAC,2025-04-29,4,1,3,1,2
gCS,India,TELEDIRECT PTE LTD,APAC,2025-04-28,5,4,1,0,1
gTech,Greece,TELEPERFORMANCE SE,EMEA,2025-04-30,2,2,0,0,0
YouTube,India,ACCENTURE PLC,APAC,2025-05-02,6,2,4,0,4
POps,India,RANDSTAD NV,APAC,2025-04-28,12,2,10,5,5
Technical Infrastructure,United States,MCFARLAND BUILDING GROUP LLC,NORTH AMERICA,2025-04-29,1,1,0,0,0
REWS,Brazil,JONES LANG LASALLE INC,LATAM,2025-04-30,5,4,1,1,0
gTech,Ireland,TELUS,EMEA,2025-04-30,4,4,0,0,0
Technical Infrastructure,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-05-02,4,3,1,1,0
Cloud,United States,MEDIATEK INC,NORTH AMERICA,2025-04-29,18,3,15,14,1
REWS,India,MEDIFIT CONSULTANTS PVT LTD,APAC,2025-04-28,3,3,0,0,0
Cloud,Philippines,ACCENTURE PLC,APAC,2025-05-02,6,3,3,3,0
Cloud,Mexico,TATA GROUP,LATAM,2025-05-02,16,2,14,10,4
YouTube,United States,TELEPERFORMANCE SE,NORTH AMERICA,2025-05-02,6,3,3,3,0
POps,United States,VACO,NORTH AMERICA,2025-04-29,2,1,1,1,0
REWS,India,COMPASS GROUP PLC,APAC,2025-04-28,3,3,0,0,0
Waymo,India,WIPRO LIMITED,APAC,2025-04-28,3,2,1,0,1
Cloud,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-02,4,3,1,1,0
Devices & Services,United States,SOURCE INTELLIGENCE,NORTH AMERICA,2025-05-01,10,5,5,0,5
gCS,India,ACCENTURE PLC,APAC,2025-04-29,5,1,4,4,0
YouTube,India,CONCENTRIX,APAC,2025-04-30,3,3,0,0,0
YouTube,India,GENPACT LIMITED,APAC,2025-04-28,3,2,1,1,0
Cloud,Costa Rica,ACCENTURE PLC,LATAM,2025-04-28,3,2,1,0,1
Platforms + Ecosystems,United States,WIPRO LIMITED,NORTH AMERICA,2025-05-01,3,3,0,0,0
REWS,Finland,CBRE GROUP INC,EMEA,2025-05-02,3,3,0,0,0
POps,India,RANDSTAD NV,APAC,2025-05-02,7,2,5,5,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-05-01,7,3,4,4,0
gTech,India,HCL TECHNOLOGIES LTD,APAC,2025-05-01,7,2,5,0,5
Technical Infrastructure,India,INDIGO TELECOM GROUP LTD,APAC,2025-04-29,1,1,0,0,0
REWS,null,COMPASS GROUP PLC,NORTH AMERICA,2025-05-01,3,3,0,0,0
gCS,India,WNS (HOLDINGS) LIMITED,APAC,2025-04-30,3,2,1,1,0
Ads & Commerce,United Kingdom,CONTINUUMGLOBAL INC,EMEA,2025-04-30,2,3,0,0,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-28,4,2,2,1,1
Corp Eng,Ireland,ASTREYA PARTNERS INC,EMEA,2025-05-01,11,1,10,0,10
Waymo,India,WIPRO LIMITED,APAC,2025-04-30,6,2,4,4,0
Access,United States,"SYSTEM RESOURCES TELECOM, LLC (SRI)",NORTH AMERICA,2025-04-30,8,3,5,4,1
YouTube,Ireland,ACCENTURE PLC,EMEA,2025-04-28,3,2,1,0,1
Devices & Services,United States,ARCHLYNK LLC,NORTH AMERICA,2025-05-02,5,2,3,2,1
Global Affairs (w/o T&S),United States,AXIOM GLOBAL INC,NORTH AMERICA,2025-05-02,5,1,4,0,4
T&S,India,WIPRO LIMITED,APAC,2025-04-28,3,3,0,0,0
Corp Eng,India,VIRTUSA CORPORATION,APAC,2025-04-28,6,2,4,0,4
Technical Infrastructure,Finland,FIBER HIGHWAY FINLAND OY,EMEA,2025-04-28,2,2,0,0,0
YouTube,Portugal,TELEPERFORMANCE SE,EMEA,2025-04-29,8,2,6,2,4
REWS,null,COMPASS GROUP PLC,NORTH AMERICA,2025-05-01,3,3,0,0,0
REWS,null,PROPARK AMERICA WEST LLC,NORTH AMERICA,2025-04-29,3,3,0,0,0
Technical Infrastructure,United States,THE WHITING TURNER CONTRACTING COMPANY,NORTH AMERICA,2025-04-29,5,3,2,0,2
Geo,India,ACCENTURE PLC,APAC,2025-05-02,6,2,4,0,4
Technical Infrastructure,null,SISTEMAS CONTRA INCENDIOS EUROCOMERCIAL LTDA,LATAM,2025-04-28,3,3,0,0,0
Technical Infrastructure,Netherlands,SYNCREON GLOBAL HOLDINGS LIMITED,EMEA,2025-04-28,4,3,1,0,1
REWS,null,SODEXO,APAC,2025-05-02,3,3,0,0,0
Technical Infrastructure,United States,DIRECT LINE GLOBAL LLC,NORTH AMERICA,2025-04-28,1,1,0,0,0
REWS,India,CONVERGINT TECHNOLOGIES GROUP L.P.,APAC,2025-05-01,3,3,0,0,0
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-30,2,2,0,0,0
REWS,United States,JONES LANG LASALLE INC,NORTH AMERICA,2025-04-29,2,2,0,0,0
REWS,United States,"INTER-CON SECURITY SYSTEMS, INC.",NORTH AMERICA,2025-05-02,6,3,3,3,0
gCS,United States,"MINDLANCE, INC.",NORTH AMERICA,2025-04-30,9,3,6,3,3
Waymo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-29,3,2,1,1,0
Access,United States,"GARY D. NELSON ASSOCIATES, INC.",NORTH AMERICA,2025-04-30,7,4,3,0,3
Geo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-28,3,2,1,1,0
Technical Infrastructure,United States,VISION TECHNOLOGIES INC.,NORTH AMERICA,2025-04-29,3,3,0,0,0
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-05-02,7,4,3,2,1
Technical Infrastructure,Thailand,WOOD INTERNATIONAL LIMITED,APAC,2025-04-28,3,1,2,0,2
Technical Infrastructure,United States,FORTIS CONSTRUCTION INC,NORTH AMERICA,2025-04-29,11,3,8,0,8
Technical Infrastructure,United States,ALLIED UNIVERSAL,NORTH AMERICA,2025-04-28,8,3,5,4,1
gCS,India,TELEDIRECT PTE LTD,APAC,2025-04-29,5,2,3,3,0
REWS,null,JONES LANG LASALLE INC,APAC,2025-05-02,3,3,0,0,0
Devices & Services,India,EXIMIETAS DESIGN LLC,APAC,2025-04-28,2,2,0,0,0
gTech,United States,VACO,NORTH AMERICA,2025-04-29,4,4,0,0,0
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-29,2,1,1,0,1
gCS,India,TELEDIRECT PTE LTD,APAC,2025-04-28,5,5,0,0,0
T&S,India,WIPRO LIMITED,APAC,2025-05-02,4,3,1,0,1
Technical Infrastructure,Ireland,GERTEK PROJECT MANAGEMENT AND TECHNICAL SERVICES LIMITED,EMEA,2025-05-02,14,3,11,3,8
YouTube,Philippines,TECH MAHINDRA LIMITED,APAC,2025-05-02,11,1,10,1,9
YouTube,India,WIPRO LIMITED,APAC,2025-05-01,13,7,6,5,1
Cloud,United States,NETAPP INC,NORTH AMERICA,2025-05-02,17,5,12,2,10
Global Affairs (w/o T&S),United States,"CONSILIO, INC",NORTH AMERICA,2025-04-30,9,2,7,0,7
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-28,2,2,0,0,0
Technical Infrastructure,Chile,GXO LOGISTICS WORLDWIDE LLC,LATAM,2025-04-30,6,4,2,0,2
REWS,Israel,YARZIN SELLA MANAGEMENT AND HOLDINGS,EMEA,2025-05-02,3,3,0,0,0
Platforms + Ecosystems,India,ITTIAM SYSTEMS PVT LTD,APAC,2025-04-28,6,3,3,0,3
gTech,Poland,TELEPERFORMANCE SE,EMEA,2025-04-29,4,4,0,0,0
T&S,India,WIPRO LIMITED,APAC,2025-04-30,5,2,3,2,1
Platforms + Ecosystems,India,HCL TECHNOLOGIES LTD,APAC,2025-04-29,4,3,1,0,1
Cloud,India,INFOSYS,APAC,2025-04-28,7,2,5,0,5
gTech,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-01,3,3,0,0,0
Technical Infrastructure,Singapore,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,APAC,2025-04-30,1,1,0,0,0
Platforms + Ecosystems,India,ITTIAM SYSTEMS PVT LTD,APAC,2025-04-29,7,3,4,0,4
gCS,Brazil,ATENTO S.A.,LATAM,2025-04-29,3,3,0,0,0
Technical Infrastructure,United States,ALPHA SERVICES CORPORATION,NORTH AMERICA,2025-04-28,2,2,0,0,0
Technical Infrastructure,United States,DIRECT LINE GLOBAL LLC,NORTH AMERICA,2025-04-28,6,2,4,3,1
Technical Infrastructure,United States,DIRECT LINE GLOBAL LLC,NORTH AMERICA,2025-04-29,2,2,0,0,0
Access,Poland,EPAM SYSTEMS INC,EMEA,2025-04-29,2,2,0,0,0
T&S,Portugal,MAJOREL GLOBAL,EMEA,2025-04-29,6,2,4,3,1
Waymo,India,WIPRO LIMITED,APAC,2025-04-30,2,1,1,1,0
POps,Taiwan,FAR EASTERN MEMORIAL HOSPITAL,APAC,2025-04-30,3,3,0,0,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-28,4,3,1,1,0
Devices & Services,India,INFOSYS,APAC,2025-04-29,3,3,0,0,0
